OccupationalGrade,OccupationalCode,OccupationalTitle,EstimatedEmployment2008,ProjectedEmployment2018,NetChange20082018,PercentChange20082018,MeanAnnualWages2008,EntryAnnualWages2008,ExperiencedAnnualWages2008,20082018OpeningsGrowth,20082018OpeningsReplacement,20082018OpeningsTotal,AnnualOpeningsGrowth,AnnualOpeningsReplacement,AnnualOpeningsTotal,EducationTrainingRequired,WIARegion
F+,17-3011,Architectural and Civil Drafters,60,60,-2,-3.45%,$44210.00,$29390.00,$51620.00,0,12,12,0,1,1,Postsecondary vocational award,Southwest
D-,17-3011,Architectural and Civil Drafters,70,70,0,0%,$44210.00,$29390.00,$51620.00,0,15,15,0,2,2,Postsecondary vocational award,Southeast
D-,17-3011,Architectural and Civil Drafters,40,40,0,0%,$44210.00,$29390.00,$51620.00,0,9,9,0,1,1,Postsecondary vocational award,South Central
D-,17-3011,Architectural and Civil Drafters,50,50,-3,-6.12%,$44210.00,$29390.00,$51620.00,0,11,11,0,1,1,Postsecondary vocational award,Northeast
D+,17-3011,Architectural and Civil Drafters,1260,1160,-100,-7.94%,$44210.00,$29390.00,$51620.00,0,270,270,0,27,27,Postsecondary vocational award,St. Louis Metro
B-,17-2199,"Engineers, All Other",168,166,-2,-1.19%,$83480.00,$58420.00,$96010.00,0,35,35,0,4,4,Bachelor's degree,Ozark
B-,17-2199,"Engineers, All Other",30,30,1,3.45%,$83480.00,$58420.00,$96010.00,1,6,7,0,1,1,Bachelor's degree,West Central
B-,17-2199,"Engineers, All Other",110,100,-5,-4.76%,$83480.00,$58420.00,$96010.00,0,22,22,0,2,2,Bachelor's degree,Northeast
B-,17-2199,"Engineers, All Other",70,70,-2,-2.82%,$83480.00,$58420.00,$96010.00,0,15,15,0,2,2,Bachelor's degree,South Central
C,17-2199,"Engineers, All Other",1460,1340,-121,-8.27%,$83480.00,$58420.00,$96010.00,0,303,303,0,30,30,Bachelor's degree,St. Louis Metro
B-,17-2199,"Engineers, All Other",250,250,-3,-1.2%,$83480.00,$58420.00,$96010.00,$0,$52,52,$0,$5,5,Bachelor's degree,Central
B-,17-2199,"Engineers, All Other",610,600,-8,-1.32%,$83480.00,$58420.00,$96010.00,0,126,126,0,13,13,Bachelor's degree,Kansas City Metro
B+,17-2199,"Engineers, All Other",90,100,3,3.19%,$83480.00,$58420.00,$96010.00,3,19,22,0,2,2,Bachelor's degree,Southwest
B+,17-2199,"Engineers, All Other",90,90,5,5.81%,$83480.00,$58420.00,$96010.00,5,18,23,1,2,3,Bachelor's degree,Northwest
B-,17-2199,"Engineers, All Other",140,130,-6,-4.35%,$83480.00,$58420.00,$96010.00,0,29,29,0,3,3,Bachelor's degree,Southeast
D,17-2171,Petroleum Engineers,10,10,0,0%,$87550.00,$72550.00,$95040.00,0,2,2,0,0,0,Bachelor's degree,Southeast
D,17-2171,Petroleum Engineers,0,0,0,0%,$87550.00,$72550.00,$95040.00,0,0,0,0,0,0,Bachelor's degree,Southwest
B,17-2171,Petroleum Engineers,1,2,1,100%,$87550.00,$72550.00,$95040.00,1,0,1,0,0,0,Bachelor's degree,Ozark
B,17-2171,Petroleum Engineers,10,10,1,12.5%,$87550.00,$72550.00,$95040.00,1,2,3,0,0,0,Bachelor's degree,St. Louis Metro
D,17-2171,Petroleum Engineers,10,10,0,0%,$87550.00,$72550.00,$95040.00,0,1,1,0,0,0,Bachelor's degree,Central
D,17-2171,Petroleum Engineers,0,0,0,0%,$87550.00,$72550.00,$95040.00,0,1,1,0,0,0,Bachelor's degree,Northeast
B,17-2171,Petroleum Engineers,10,10,1,16.67%,$87550.00,$72550.00,$95040.00,1,1,2,0,0,0,Bachelor's degree,Kansas City Metro
B,17-2171,Petroleum Engineers,0,0,1,100%,$87550.00,$72550.00,$95040.00,1,0,1,0,0,0,Bachelor's degree,West Central
B,17-2161,Nuclear Engineers,ND,ND,2,ND,ND,ND,ND,2,2,4,0,0,0,Bachelor's degree,Central
B-,17-2161,Nuclear Engineers,ND,ND,1,ND,ND,ND,ND,1,2,3,0,0,0,Bachelor's degree,Ozark
B,17-2161,Nuclear Engineers,ND,ND,6,ND,ND,ND,ND,6,8,14,1,1,2,Bachelor's degree,Kansas City Metro
B,17-2161,Nuclear Engineers,ND,ND,1,ND,ND,ND,ND,1,1,2,0,0,0,Bachelor's degree,Southeast
B-,17-2161,Nuclear Engineers,ND,ND,0,ND,ND,ND,ND,0,1,1,0,0,0,Bachelor's degree,West Central
B-,17-2161,Nuclear Engineers,ND,ND,2,ND,ND,ND,ND,2,15,17,0,2,2,Bachelor's degree,St. Louis Metro
D,17-2161,Nuclear Engineers,ND,ND,0,ND,ND,ND,ND,0,1,1,0,0,0,Bachelor's degree,Northwest
B,17-2161,Nuclear Engineers,ND,ND,1,ND,ND,ND,ND,1,1,2,0,0,0,Bachelor's degree,Northeast
B,17-2161,Nuclear Engineers,ND,ND,1,ND,$104450.00,$68200.00,$122580.00,1,1,2,0,0,0,Bachelor's degree,Southwest
B,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",3,5,2,66.67%,$72230.00,$49260.00,$83710.00,2,1,3,0,0,0,Bachelor's degree,Ozark
B,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",10,10,1,20%,$72230.00,$49260.00,$83710.00,1,1,2,0,0,0,Bachelor's degree,Central
D,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",0,0,0,0%,$72230.00,$49260.00,$83710.00,0,0,0,0,0,0,Bachelor's degree,Southwest
D,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",0,0,0,0%,$72230.00,$49260.00,$83710.00,0,1,1,0,0,0,Bachelor's degree,Northeast
B-,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",0,0,0,0%,$72230.00,$49260.00,$83710.00,0,0,0,0,0,0,Bachelor's degree,West Central
B,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",10,10,2,18.18%,$72230.00,$49260.00,$83710.00,2,2,4,0,0,0,Bachelor's degree,Kansas City Metro
B,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",20,30,3,12.5%,$72230.00,$49260.00,$83710.00,3,5,8,0,1,1,Bachelor's degree,St. Louis Metro
D,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",10,10,0,0%,$72230.00,$49260.00,$83710.00,0,3,3,0,0,0,Bachelor's degree,Southeast
B-,17-2141,Mechanical Engineers,1480,1450,-34,-2.3%,$73210.00,$52160.00,$83730.00,0,380,380,0,38,38,Bachelor's degree,St. Louis Metro
B-,17-2141,Mechanical Engineers,140,140,2,1.47%,$73210.00,$52160.00,$83730.00,2,35,37,0,4,4,Bachelor's degree,Southeast
B-,17-2141,Mechanical Engineers,231,237,6,2.6%,$73210.00,$52160.00,$83730.00,6,59,65,1,6,7,Bachelor's degree,Ozark
B-,17-2141,Mechanical Engineers,90,90,-2,-2.2%,$73210.00,$52160.00,$83730.00,0,23,23,0,2,2,Bachelor's degree,West Central
B+,17-2141,Mechanical Engineers,670,690,24,3.61%,$73210.00,$52160.00,$83730.00,24,171,195,2,17,19,Bachelor's degree,Kansas City Metro
B+,17-2141,Mechanical Engineers,280,290,10,3.53%,$73210.00,$52160.00,$83730.00,$10,$73,83,$1,$7,8,Bachelor's degree,Central
B+,17-2141,Mechanical Engineers,100,100,3,3%,$73210.00,$52160.00,$83730.00,3,26,29,0,3,3,Bachelor's degree,Northwest
B-,17-2141,Mechanical Engineers,150,140,-2,-1.38%,$73210.00,$52160.00,$83730.00,0,37,37,0,4,4,Bachelor's degree,Southwest
B+,17-2141,Mechanical Engineers,110,120,4,3.54%,$73210.00,$52160.00,$83730.00,4,29,33,0,3,3,Bachelor's degree,South Central
B+,17-2141,Mechanical Engineers,90,100,5,5.49%,$73210.00,$52160.00,$83730.00,5,23,28,1,2,3,Bachelor's degree,Northeast
B,17-2131,Materials Engineers,10,10,2,20%,$86970.00,$61610.00,$99650.00,2,2,4,0,0,0,Bachelor's degree,Northeast
B-,17-2131,Materials Engineers,19,21,2,10.53%,$86970.00,$61610.00,$99650.00,2,5,7,0,1,1,Bachelor's degree,Ozark
B,17-2131,Materials Engineers,10,20,4,30.77%,$86970.00,$61610.00,$99650.00,4,3,7,0,0,0,Bachelor's degree,Southwest
B-,17-2131,Materials Engineers,10,10,0,0%,$86970.00,$61610.00,$99650.00,0,1,1,0,0,0,Bachelor's degree,West Central
B-,17-2131,Materials Engineers,30,30,2,6.45%,$86970.00,$61610.00,$99650.00,2,7,9,0,1,1,Bachelor's degree,Central
B,17-2131,Materials Engineers,70,80,11,16.92%,$86970.00,$61610.00,$99650.00,11,15,26,1,2,3,Bachelor's degree,Kansas City Metro
B,17-2131,Materials Engineers,10,10,2,22.22%,$86970.00,$61610.00,$99650.00,2,2,4,0,0,0,Bachelor's degree,Northwest
B-,17-2131,Materials Engineers,150,160,10,6.49%,$86970.00,$61610.00,$99650.00,10,37,47,1,4,5,Bachelor's degree,St. Louis Metro
B-,17-2131,Materials Engineers,20,20,1,5%,$86970.00,$61610.00,$99650.00,1,5,6,0,1,1,Bachelor's degree,Southeast
B,17-2131,Materials Engineers,10,10,1,12.5%,$86970.00,$61610.00,$99650.00,1,2,3,0,0,0,Bachelor's degree,South Central
F,17-2121,Marine Engineers and Naval Architects,ND,ND,0,ND,ND,ND,ND,0,0,0,0,0,0,Bachelor's degree,Ozark
F,17-2121,Marine Engineers and Naval Architects,ND,ND,0,ND,ND,ND,ND,0,1,1,0,0,0,Bachelor's degree,Southeast
F-,17-2121,Marine Engineers and Naval Architects,ND,ND,-1,ND,ND,ND,ND,0,2,2,0,0,0,Bachelor's degree,St. Louis Metro
F,17-2121,Marine Engineers and Naval Architects,ND,ND,0,ND,ND,ND,ND,0,1,1,0,0,0,Bachelor's degree,Kansas City Metro
A-,17-2112,Industrial Engineers,120,130,14,12.07%,$71350.00,$51600.00,$81230.00,14,30,44,1,3,4,Bachelor's degree,Northwest
A-,17-2112,Industrial Engineers,110,130,14,12.5%,$71350.00,$51600.00,$81230.00,14,29,43,1,3,4,Bachelor's degree,South Central
B+,17-2112,Industrial Engineers,223,241,18,8.07%,$71350.00,$51600.00,$81230.00,18,57,75,2,6,8,Bachelor's degree,Ozark
A-,17-2112,Industrial Engineers,280,320,34,12.01%,$71350.00,$51600.00,$81230.00,34,72,106,3,7,10,Bachelor's degree,Central
A-,17-2112,Industrial Engineers,1490,1600,113,7.6%,$71350.00,$51600.00,$81230.00,113,379,492,11,38,49,Bachelor's degree,St. Louis Metro
A-,17-2112,Industrial Engineers,170,180,16,9.7%,$71350.00,$51600.00,$81230.00,16,42,58,2,4,6,Bachelor's degree,Southeast
B+,17-2112,Industrial Engineers,90,90,5,5.75%,$71350.00,$51600.00,$81230.00,5,22,27,1,2,3,Bachelor's degree,West Central
A-,17-2112,Industrial Engineers,620,700,77,12.38%,$71350.00,$51600.00,$81230.00,77,159,236,8,16,24,Bachelor's degree,Kansas City Metro
B+,17-2112,Industrial Engineers,200,210,14,7.11%,$71350.00,$51600.00,$81230.00,14,50,64,1,5,6,Bachelor's degree,Southwest
B+,17-2112,Industrial Engineers,90,100,8,8.89%,$71350.00,$51600.00,$81230.00,8,23,31,1,2,3,Bachelor's degree,Northeast
B,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",10,10,2,25%,$70500.00,$48270.00,$81620.00,2,2,4,0,0,0,Bachelor's degree,West Central
B-,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",27,29,2,7.41%,$70500.00,$48270.00,$81620.00,2,7,9,0,1,1,Bachelor's degree,Ozark
B,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",90,100,11,12.09%,$70500.00,$48270.00,$81620.00,11,23,34,1,2,3,Bachelor's degree,Kansas City Metro
B,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",30,30,3,9.68%,$70500.00,$48270.00,$81620.00,3,8,11,0,1,1,Bachelor's degree,Central
B,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",10,10,2,33.33%,$70500.00,$48270.00,$81620.00,2,2,4,0,0,0,Bachelor's degree,South Central
D,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",20,10,-1,-6.67%,$70500.00,$48270.00,$81620.00,0,4,4,0,0,0,Bachelor's degree,Northwest
D,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",20,20,-1,-5.88%,$70500.00,$48270.00,$81620.00,0,4,4,0,0,0,Bachelor's degree,Southwest
D,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",20,20,-1,-5.88%,$70500.00,$48270.00,$81620.00,0,4,4,0,0,0,Bachelor's degree,Southeast
B-,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",10,10,1,9.09%,$70500.00,$48270.00,$81620.00,1,3,4,0,0,0,Bachelor's degree,Northeast
B-,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",180,190,7,3.85%,$70500.00,$48270.00,$81620.00,7,46,53,1,5,6,Bachelor's degree,St. Louis Metro
A-,17-2081,Environmental Engineers,280,360,88,31.88%,$71920.00,$49610.00,$83080.00,88,57,145,9,6,15,Bachelor's degree,Kansas City Metro
B,17-2081,Environmental Engineers,30,40,4,12.5%,$71920.00,$49610.00,$83080.00,4,7,11,0,1,1,Bachelor's degree,Northwest
A-,17-2081,Environmental Engineers,520,620,96,18.39%,$71920.00,$49610.00,$83080.00,96,108,204,10,11,21,Bachelor's degree,St. Louis Metro
B,17-2081,Environmental Engineers,30,30,4,16%,$71920.00,$49610.00,$83080.00,4,5,9,0,1,1,Bachelor's degree,Northeast
B,17-2081,Environmental Engineers,63,79,16,25.4%,$71920.00,$49610.00,$83080.00,16,13,29,2,1,3,Bachelor's degree,Ozark
B,17-2081,Environmental Engineers,20,20,4,20%,$71920.00,$49610.00,$83080.00,4,4,8,0,0,0,Bachelor's degree,South Central
B,17-2081,Environmental Engineers,30,30,3,12%,$71920.00,$49610.00,$83080.00,3,5,8,0,1,1,Bachelor's degree,West Central
A-,17-2081,Environmental Engineers,120,140,20,16.26%,$71920.00,$49610.00,$83080.00,20,25,45,2,3,5,Bachelor's degree,Central
B,17-2081,Environmental Engineers,30,30,3,11.11%,$71920.00,$49610.00,$83080.00,3,6,9,0,1,1,Bachelor's degree,Southwest
B,17-2081,Environmental Engineers,30,40,4,11.76%,$71920.00,$49610.00,$83080.00,4,7,11,0,1,1,Bachelor's degree,Southeast
B+,17-2072,"Electronics Engineers, Except Computer",172,191,19,11.05%,$79900.00,$57420.00,$91140.00,19,39,58,2,4,6,Bachelor's degree,Ozark
B+,17-2072,"Electronics Engineers, Except Computer",80,80,2,2.5%,$79900.00,$57420.00,$91140.00,2,18,20,0,2,2,Bachelor's degree,Southwest
B-,17-2072,"Electronics Engineers, Except Computer",60,60,1,1.59%,$79900.00,$57420.00,$91140.00,1,14,15,0,1,1,Bachelor's degree,Northwest
C,17-2072,"Electronics Engineers, Except Computer",1220,1120,-100,-8.18%,$79900.00,$57420.00,$91140.00,0,281,281,0,28,28,Bachelor's degree,St. Louis Metro
B-,17-2072,"Electronics Engineers, Except Computer",80,80,1,1.25%,$79900.00,$57420.00,$91140.00,1,18,19,0,2,2,Bachelor's degree,Southeast
B-,17-2072,"Electronics Engineers, Except Computer",510,520,4,0.78%,$79900.00,$57420.00,$91140.00,4,118,122,0,12,12,Bachelor's degree,Kansas City Metro
D,17-2072,"Electronics Engineers, Except Computer",40,40,-2,-5.41%,$79900.00,$57420.00,$91140.00,0,8,8,0,1,1,Bachelor's degree,West Central
D,17-2072,"Electronics Engineers, Except Computer",40,40,-1,-2.78%,$79900.00,$57420.00,$91140.00,0,8,8,0,1,1,Bachelor's degree,South Central
B-,17-2072,"Electronics Engineers, Except Computer",40,40,1,2.5%,$79900.00,$57420.00,$91140.00,1,9,10,0,1,1,Bachelor's degree,Northeast
B-,17-2072,"Electronics Engineers, Except Computer",150,160,3,1.97%,$79900.00,$57420.00,$91140.00,3,35,38,0,4,4,Bachelor's degree,Central
B-,17-2071,Electrical Engineers,70,60,-1,-1.54%,$79160.00,$56330.00,$90570.00,0,15,15,0,2,2,Bachelor's degree,South Central
B-,17-2071,Electrical Engineers,540,550,4,0.74%,$79160.00,$56330.00,$90570.00,4,124,128,0,12,12,Bachelor's degree,Kansas City Metro
B-,17-2071,Electrical Engineers,130,120,-8,-6.3%,$79160.00,$56330.00,$90570.00,0,29,29,0,3,3,Bachelor's degree,Southwest
C,17-2071,Electrical Engineers,60,50,-4,-7.02%,$79160.00,$56330.00,$90570.00,0,13,13,0,1,1,Bachelor's degree,Northeast
B-,17-2071,Electrical Engineers,70,70,-7,-9.59%,$79160.00,$56330.00,$90570.00,0,17,17,0,2,2,Bachelor's degree,West Central
C,17-2071,Electrical Engineers,1000,950,-52,-5.19%,$79160.00,$56330.00,$90570.00,0,230,230,0,23,23,Bachelor's degree,St. Louis Metro
B-,17-2071,Electrical Engineers,157,161,4,2.55%,$79160.00,$56330.00,$90570.00,4,36,40,0,4,4,Bachelor's degree,Ozark
B-,17-2071,Electrical Engineers,90,90,-3,-3.33%,$79160.00,$56330.00,$90570.00,0,21,21,0,2,2,Bachelor's degree,Southeast
B-,17-2071,Electrical Engineers,220,210,-4,-1.86%,$79160.00,$56330.00,$90570.00,0,49,49,0,5,5,Bachelor's degree,Central
B-,17-2071,Electrical Engineers,90,80,-4,-4.55%,$79160.00,$56330.00,$90570.00,0,20,20,0,2,2,Bachelor's degree,Northwest
B,17-2061,Computer Hardware Engineers,0,0,1,33.33%,$116730.00,$60210.00,$145000.00,1,1,2,0,0,0,Bachelor's degree,Northeast
D,17-2061,Computer Hardware Engineers,0,0,0,0%,$116730.00,$60210.00,$145000.00,0,1,1,0,0,0,Bachelor's degree,Northwest
B-,17-2061,Computer Hardware Engineers,140,140,4,2.86%,$116730.00,$60210.00,$145000.00,4,39,43,0,4,4,Bachelor's degree,St. Louis Metro
D,17-2061,Computer Hardware Engineers,0,0,-1,-25%,$116730.00,$60210.00,$145000.00,0,1,1,0,0,0,Bachelor's degree,West Central
B,17-2061,Computer Hardware Engineers,80,80,8,10.67%,$116730.00,$60210.00,$145000.00,8,21,29,1,2,3,Bachelor's degree,Kansas City Metro
D,17-2061,Computer Hardware Engineers,10,10,0,0%,$116730.00,$60210.00,$145000.00,0,2,2,0,0,0,Bachelor's degree,Southeast
B-,17-2061,Computer Hardware Engineers,18,20,2,11.11%,$116730.00,$60210.00,$145000.00,2,5,7,0,1,1,Bachelor's degree,Ozark
D,17-2061,Computer Hardware Engineers,10,10,-1,-14.29%,$116730.00,$60210.00,$145000.00,0,2,2,0,0,0,Bachelor's degree,Southwest
B,17-2061,Computer Hardware Engineers,0,0,1,33.33%,$116730.00,$60210.00,$145000.00,1,1,2,0,0,0,Bachelor's degree,South Central
B-,17-2061,Computer Hardware Engineers,20,20,1,5%,$116730.00,$60210.00,$145000.00,1,6,7,0,1,1,Bachelor's degree,Central
A-,17-2051,Civil Engineers,170,190,19,11.05%,$75810.00,$51180.00,$88130.00,19,29,48,2,3,5,Bachelor's degree,Northwest
A-,17-2051,Civil Engineers,110,130,17,15.74%,$75810.00,$51180.00,$88130.00,17,18,35,2,2,4,Bachelor's degree,South Central
A+,17-2051,Civil Engineers,1340,1600,260,19.4%,$75810.00,$51180.00,$88130.00,260,226,486,26,23,49,Bachelor's degree,Kansas City Metro
A-,17-2051,Civil Engineers,150,170,16,10.39%,$75810.00,$51180.00,$88130.00,16,26,42,2,3,5,Bachelor's degree,West Central
A-,17-2051,Civil Engineers,351,408,57,16.24%,$75810.00,$51180.00,$88130.00,57,59,116,6,6,12,Bachelor's degree,Ozark
B+,17-2051,Civil Engineers,160,170,13,8.39%,$75810.00,$51180.00,$88130.00,13,26,39,1,3,4,Bachelor's degree,Northeast
B+,17-2051,Civil Engineers,140,150,8,5.67%,$75810.00,$51180.00,$88130.00,8,24,32,1,2,3,Bachelor's degree,Southwest
B+,17-2051,Civil Engineers,210,220,17,8.21%,$75810.00,$51180.00,$88130.00,17,35,52,2,4,6,Bachelor's degree,Southeast
A-,17-2051,Civil Engineers,2460,2690,233,9.48%,$75810.00,$51180.00,$88130.00,233,415,648,23,42,65,Bachelor's degree,St. Louis Metro
A-,17-2051,Civil Engineers,710,770,65,9.22%,$75810.00,$51180.00,$88130.00,65,119,184,7,12,19,Bachelor's degree,Central
D,17-2041,Chemical Engineers,29,29,0,0%,$90460.00,$50150.00,$110610.00,0,7,7,0,1,1,Bachelor's degree,Ozark
B,17-2041,Chemical Engineers,10,10,1,12.5%,$90460.00,$50150.00,$110610.00,1,2,3,0,0,0,Bachelor's degree,South Central
D,17-2041,Chemical Engineers,310,290,-21,-6.73%,$90460.00,$50150.00,$110610.00,0,76,76,0,8,8,Bachelor's degree,St. Louis Metro
D,17-2041,Chemical Engineers,20,20,-2,-11.11%,$90460.00,$50150.00,$110610.00,0,4,4,0,0,0,Bachelor's degree,Southwest
D,17-2041,Chemical Engineers,10,10,-1,-7.14%,$90460.00,$50150.00,$110610.00,0,3,3,0,0,0,Bachelor's degree,Southeast
D,17-2041,Chemical Engineers,10,10,-1,-14.29%,$90460.00,$50150.00,$110610.00,0,2,2,0,0,0,Bachelor's degree,West Central
D,17-2041,Chemical Engineers,40,40,0,0%,$90460.00,$50150.00,$110610.00,0,9,9,0,1,1,Bachelor's degree,Central
D,17-2041,Chemical Engineers,10,10,-1,-10%,$90460.00,$50150.00,$110610.00,0,2,2,0,0,0,Bachelor's degree,Northeast
D,17-2041,Chemical Engineers,130,130,-1,-0.79%,$90460.00,$50150.00,$110610.00,0,31,31,0,3,3,Bachelor's degree,Kansas City Metro
D,17-2041,Chemical Engineers,20,20,-1,-4.55%,$90460.00,$50150.00,$110610.00,0,5,5,0,1,1,Bachelor's degree,Northwest
B,17-2031,Biomedical Engineers,30,50,15,48.39%,$67180.00,$41960.00,$79790.00,15,6,21,2,1,3,Bachelor's degree,Kansas City Metro
B,17-2031,Biomedical Engineers,10,10,2,40%,$67180.00,$41960.00,$79790.00,2,1,3,0,0,0,Bachelor's degree,Southeast
B,17-2031,Biomedical Engineers,80,130,50,64.1%,$67180.00,$41960.00,$79790.00,50,16,66,5,2,7,Bachelor's degree,St. Louis Metro
B,17-2031,Biomedical Engineers,10,20,11,100%,$67180.00,$41960.00,$79790.00,11,2,13,1,0,1,Bachelor's degree,Central
B,17-2031,Biomedical Engineers,0,0,2,100%,$67180.00,$41960.00,$79790.00,2,0,2,0,0,0,Bachelor's degree,South Central
B,17-2031,Biomedical Engineers,8,16,8,100%,$67180.00,$41960.00,$79790.00,8,2,10,1,0,1,Bachelor's degree,Ozark
B,17-2031,Biomedical Engineers,10,10,2,33.33%,$67180.00,$41960.00,$79790.00,2,1,3,0,0,0,Bachelor's degree,Southwest
B,17-2031,Biomedical Engineers,0,10,1,25%,$67180.00,$41960.00,$79790.00,1,1,2,0,0,0,Bachelor's degree,Northeast
B,17-2031,Biomedical Engineers,10,10,6,85.71%,$67180.00,$41960.00,$79790.00,6,1,7,1,0,1,Bachelor's degree,Northwest
B,17-2031,Biomedical Engineers,0,0,3,300%,$67180.00,$41960.00,$79790.00,3,0,3,0,0,0,Bachelor's degree,West Central
D,17-2021,Agricultural Engineers,0,0,0,0%,$72370.00,$56800.00,$80160.00,0,0,0,0,0,0,Bachelor's degree,Southwest
D,17-2021,Agricultural Engineers,0,0,-1,-50%,$72370.00,$56800.00,$80160.00,0,0,0,0,0,0,Bachelor's degree,West Central
D,17-2021,Agricultural Engineers,10,10,0,0%,$72370.00,$56800.00,$80160.00,$0,$1,1,$0,$0,0,Bachelor's degree,Central
D,17-2021,Agricultural Engineers,1,1,0,0%,$72370.00,$56800.00,$80160.00,0,0,0,0,0,0,Bachelor's degree,Ozark
B,17-2021,Agricultural Engineers,0,0,1,100%,$72370.00,$56800.00,$80160.00,1,0,1,0,0,0,Bachelor's degree,Southeast
D,17-2021,Agricultural Engineers,10,10,-1,-12.5%,$72370.00,$56800.00,$80160.00,0,2,2,0,0,0,Bachelor's degree,Kansas City Metro
D,17-2021,Agricultural Engineers,0,0,0,0%,$72370.00,$56800.00,$80160.00,0,0,0,0,0,0,Bachelor's degree,Northwest
D,17-2021,Agricultural Engineers,10,10,0,0%,$72370.00,$56800.00,$80160.00,0,2,2,0,0,0,Bachelor's degree,St. Louis Metro
F,17-2011,Aerospace Engineers,ND,ND,-6,ND,ND,ND,ND,0,83,83,0,8,8,Bachelor's degree,St. Louis Metro
F+,17-2011,Aerospace Engineers,ND,ND,1,ND,ND,ND,ND,1,6,7,0,1,1,Bachelor's degree,Northeast
F+,17-2011,Aerospace Engineers,ND,ND,0,ND,ND,ND,ND,0,1,1,0,0,0,Bachelor's degree,West Central
D-,17-2011,Aerospace Engineers,ND,ND,3,ND,ND,ND,ND,3,5,8,0,1,1,Bachelor's degree,Southwest
F,17-2011,Aerospace Engineers,ND,ND,2,ND,ND,ND,ND,2,9,11,0,1,1,Bachelor's degree,Ozark
F+,17-2011,Aerospace Engineers,ND,ND,1,ND,ND,ND,ND,1,8,9,0,1,1,Bachelor's degree,Southeast
F+,17-2011,Aerospace Engineers,ND,ND,3,ND,ND,ND,ND,3,14,17,0,1,1,Bachelor's degree,Central
F+,17-2011,Aerospace Engineers,ND,ND,7,ND,ND,ND,ND,7,33,40,1,3,4,Bachelor's degree,Kansas City Metro
D,17-2011,Aerospace Engineers,ND,ND,4,ND,ND,ND,ND,4,5,9,0,1,1,Bachelor's degree,Northwest
F+,17-2011,Aerospace Engineers,ND,ND,1,ND,ND,ND,ND,1,4,5,0,0,0,Bachelor's degree,South Central
C,17-1022,Surveyors,600,590,-18,-2.99%,$47250.00,$30510.00,$55620.00,0,154,154,0,15,15,Bachelor's degree,St. Louis Metro
C,17-1022,Surveyors,110,120,6,5.5%,$47250.00,$30510.00,$55620.00,6,28,34,1,3,4,Bachelor's degree,Central
D-,17-1022,Surveyors,30,30,0,0%,$47250.00,$30510.00,$55620.00,0,7,7,0,1,1,Bachelor's degree,Northeast
C,17-1022,Surveyors,20,20,1,5%,$47250.00,$30510.00,$55620.00,1,5,6,0,1,1,Bachelor's degree,South Central
C,17-1022,Surveyors,20,20,0,0%,$47250.00,$30510.00,$55620.00,0,6,6,0,1,1,Bachelor's degree,West Central
C,17-1022,Surveyors,40,40,2,5.26%,$47250.00,$30510.00,$55620.00,2,10,12,0,1,1,Bachelor's degree,Southeast
C,17-1022,Surveyors,71,78,7,9.86%,$47250.00,$30510.00,$55620.00,7,18,25,1,2,3,Bachelor's degree,Ozark
D-,17-1022,Surveyors,30,30,0,0%,$47250.00,$30510.00,$55620.00,0,6,6,0,1,1,Bachelor's degree,Southwest
B,17-1022,Surveyors,30,30,2,7.14%,$47250.00,$30510.00,$55620.00,2,7,9,0,1,1,Bachelor's degree,Northwest
B+,17-1022,Surveyors,330,360,30,9.12%,$47250.00,$30510.00,$55620.00,30,84,114,3,8,11,Bachelor's degree,Kansas City Metro
D-,17-1021,Cartographers and Photogrammetrists,50,50,1,2%,$52660.00,$32570.00,$62700.00,1,13,14,0,1,1,Bachelor's degree,Central
D-,17-1021,Cartographers and Photogrammetrists,10,10,0,0%,$52660.00,$32570.00,$62700.00,0,2,2,0,0,0,Bachelor's degree,South Central
B,17-1021,Cartographers and Photogrammetrists,190,210,19,10.16%,$52660.00,$32570.00,$62700.00,19,48,67,2,5,7,Bachelor's degree,St. Louis Metro
C,17-1021,Cartographers and Photogrammetrists,10,10,0,0%,$52660.00,$32570.00,$62700.00,0,3,3,0,0,0,Bachelor's degree,West Central
